# File: Ref_veg_carbon_Mg_per_ha.csv
# Title: Reference veg and soil C density for HYDE land cells
# Units: Mg/ha
# Author: moirai
# Description: ref veg soil and veg carbon density (Mg/ha) for hyde land cells in country X glu X land type
# Original source: soil c for sage pot veg; veg c for sage pot veg; reference veg; country raster; new glu raster; hyde land area
# Source: https://github.com/JGCRI/moirai
# Column types: ciicnnnnnn
# ----------
iso,glu_code,land_type,c_type,weighted_average,median_value,min_value,max_value,q1_value,q3_value
ago,162,102,veg_c (above ground biomass),103,108,3,181,108,123
ago,162,102,veg_c (below ground biomass),26,27,1,46,27,31
ago,162,201,soil_c (0-30 cms),60,70,40,130,50,80
ago,162,201,veg_c (above ground biomass),16,23,2,94,23,37
ago,162,201,veg_c (below ground biomass),11,16,2,63,16,25
ago,162,202,soil_c (0-30 cms),75,70,40,130,50,80
ago,162,202,veg_c (above ground biomass),28,25,2,99,25,39
ago,162,202,veg_c (below ground biomass),16,14,1,58,14,23
ago,162,901,soil_c (0-30 cms),76,70,30,160,60,100
ago,162,901,veg_c (above ground biomass),29,37,2,114,37,52
ago,162,901,veg_c (below ground biomass),8,11,1,33,11,15
ago,162,902,soil_c (0-30 cms),82,70,30,160,60,100
ago,162,902,veg_c (above ground biomass),46,37,2,115,37,52
ago,162,902,veg_c (below ground biomass),13,11,1,32,11,15
ago,182,101,soil_c (0-30 cms),51,60,20,220,40,80
ago,182,101,veg_c (above ground biomass),22,36,1,148,36,79
ago,182,101,veg_c (below ground biomass),9,15,1,60,15,32
ago,182,102,soil_c (0-30 cms),55,60,20,220,40,80
ago,182,102,veg_c (above ground biomass),38,37,1,152,37,81
ago,182,102,veg_c (below ground biomass),14,14,1,57,14,30
ago,182,103,soil_c (0-30 cms),50,60,20,220,40,80
ago,182,103,veg_c (above ground biomass),25,33,1,139,33,74
ago,182,103,veg_c (below ground biomass),12,17,1,70,17,37
ago,182,104,soil_c (0-30 cms),47,60,20,220,40,80
ago,182,104,veg_c (above ground biomass),31,31,1,130,31,69
ago,182,104,veg_c (below ground biomass),19,19,1,79,19,42
ago,182,105,soil_c (0-30 cms),37,60,20,220,40,80
ago,182,105,veg_c (above ground biomass),11,32,1,132,32,70
ago,182,105,veg_c (below ground biomass),6,18,1,76,18,41
ago,182,106,soil_c (0-30 cms),46,60,20,220,40,80
ago,182,106,veg_c (above ground biomass),3,16,1,65,16,35
ago,182,106,veg_c (below ground biomass),7,34,1,144,34,76
ago,182,107,soil_c (0-30 cms),42,60,20,220,40,80
ago,182,107,veg_c (above ground biomass),12,32,1,131,32,70
ago,182,107,veg_c (below ground biomass),7,19,1,77,19,41
ago,182,201,soil_c (0-30 cms),49,50,20,220,40,60
ago,182,201,veg_c (above ground biomass),28,24,1,140,24,42
ago,182,201,veg_c (below ground biomass),14,12,0,69,12,21
ago,182,202,soil_c (0-30 cms),51,50,20,220,40,60
ago,182,202,veg_c (above ground biomass),26,24,1,141,24,42
ago,182,202,veg_c (below ground biomass),13,12,0,69,12,21
ago,182,203,soil_c (0-30 cms),33,50,20,220,40,60
ago,182,203,veg_c (above ground biomass),31,26,1,153,26,46
ago,182,203,veg_c (below ground biomass),11,10,0,57,10,17
ago,182,204,soil_c (0-30 cms),39,50,20,220,40,60
ago,182,204,veg_c (above ground biomass),17,20,0,116,20,35
ago,182,204,veg_c (below ground biomass),14,16,0,93,16,28
ago,182,205,soil_c (0-30 cms),39,50,20,220,40,60
ago,182,205,veg_c (above ground biomass),25,23,1,138,23,42
ago,182,205,veg_c (below ground biomass),13,12,0,71,12,21
ago,182,207,soil_c (0-30 cms),42,50,20,220,40,60
ago,182,207,veg_c (above ground biomass),25,23,1,135,23,41
ago,182,207,veg_c (below ground biomass),14,13,0,75,13,23
ago,182,901,soil_c (0-30 cms),52,40,10,280,30,60
ago,182,901,veg_c (above ground biomass),19,11,1,117,11,32
ago,182,901,veg_c (below ground biomass),14,8,1,82,8,23
ago,182,902,soil_c (0-30 cms),50,40,10,280,30,60
ago,182,902,veg_c (above ground biomass),18,11,1,116,11,32
ago,182,902,veg_c (below ground biomass),13,8,1,83,8,23
ago,182,903,soil_c (0-30 cms),37,40,10,280,30,60
ago,182,903,veg_c (above ground biomass),12,9,1,98,9,27
ago,182,903,veg_c (below ground biomass),12,10,1,101,10,28
ago,182,904,soil_c (0-30 cms),38,40,10,280,30,60
ago,182,904,veg_c (above ground biomass),12,10,1,100,10,27
ago,182,904,veg_c (below ground biomass),12,10,1,99,10,27
ago,182,905,soil_c (0-30 cms),54,40,10,280,30,60
ago,182,905,veg_c (above ground biomass),16,10,1,99,10,27
ago,182,905,veg_c (below ground biomass),16,10,1,99,10,27
ago,182,906,soil_c (0-30 cms),39,40,10,280,30,60
ago,182,906,veg_c (above ground biomass),6,9,1,96,9,26
ago,182,906,veg_c (below ground biomass),7,10,1,103,10,28
ago,182,907,soil_c (0-30 cms),35,40,10,280,30,60
ago,182,907,veg_c (above ground biomass),31,8,1,81,8,22
